감정단어,V,A,D
신물나다,0.327,0.5,0.352
신바람나다,0.792,0.96,0.725
실망하다,0.071,0.472,0.241
실의,0.104,0.654,0.347
싫다,0.156,0.406,0.321
싫증나다,0.327,0.5,0.352
심란하다,0.281,0.875,0.434
심려하다,0.245,0.776,0.267
심심하다,0.153,0.167,0.196
심통,0.25,0.58,0.406
싱숭생숭하다,0.219,0.81,0.304
쑥스럽다,0.28,0.153,0.132
쓸쓸하다,0.25,0.226,0.238
씁쓸하다,0.218,0.627,0.411
아니꼽다,0.102,0.69,0.3
아련하다,0.458,0.351,0.184
아쉽다,0.406,0.362,0.212
아슬아슬하다,0.235,0.82,0.213
아찔하다,0.199,0.582,0.193
안달복달하다,0.25,0.708,0.429
안달하다,0.289,0.46,0.231
안도하다,0.896,0.314,0.391
안락하다,0.927,0.163,0.473
안심,0.875,0.127,0.593
안쓰럽다,0.088,0.464,0.139
안정되다,0.839,0.427,0.722
안타깝다,0.167,0.48,0.188
암담하다,0.107,0.41,0.287
암울하다,0.204,0.427,0.272
애끓다,0.083,0.842,0.337
애달프다,0.082,0.551,0.235
애닮다,0.083,0.8,0.34
애도하다,0.056,0.583,0.15
애석하다,0.219,0.49,0.232
애수,0.198,0.398,0.352
애잔하다,0.292,0.529,0.306
애정,0.898,0.559,0.696
애지중지하다,0.896,0.491,0.652
애착,0.57,0.343,0.5
애처럽다,0.219,0.49,0.232
애타다,0.281,0.875,0.434
애통하다,0.056,0.583,0.15
애틋하다,0.949,0.422,0.55
애환,0.052,0.235,0.164
야속하다,0.235,0.377,0.345
약오르다,0.08,0.651,0.255
얄밉다,0.082,0.853,0.348
어이없다,0.188,0.656,0.284
어처구니없다,0.159,0.594,0.245
억울하다,0.173,0.472,0.19
언짢다,0.135,0.69,0.4
역겹다,0.031,0.796,0.245
역정,0.082,0.888,0.658
연모하다,0.854,0.438,0.657
연민,0.735,0.258,0.509
연연하다,0.417,0.62,0.588
연정,0.898,0.559,0.696
열광하다,0.885,0.868,0.848
열등감,0.26,0.254,0.106
열애,0.99,0.827,0.731
열정,0.854,0.865,0.728
